Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,File
 tɔru̮mn ertal l’ul’ latəŋ ta lawsən. ,1,A,PV,ta,pst,ind,none,pfv,2,sg,zero,top,sp,uniq,sap,I,abst,barenp,ref,sp,uniq,weak,NM_Sosva_Chernetsov_45_PW_final.xlsx - Sheet1.csv
" Wɔr uj sɔ̄ten puwwəs,",X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,I,abst,possnp,top,sp,uniq,strg,NM_Sosva_Chernetsov_45_PW_final.xlsx - Sheet1.csv
 wit χul sɔ̄tēn puwwəs,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,I,abst,possnp,top,sp,uniq,strg,NM_Sosva_Chernetsov_45_PW_final.xlsx - Sheet1.csv
" an’ ɔ̄jka takwi ēntχa:tɒs,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_45_PW_final.xlsx - Sheet1.csv
 ta minɒs,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_45_PW_final.xlsx - Sheet1.csv
" ta lāwnə wɔr uj ɔ̄li,",0,A,AV,NoPtcl,npst,ind,none,npfv,A,mass,barenp,typid,nonsp,nuniq,nfam,,,,,,,,NM_Sosva_Chernetsov_45_PW_final.xlsx - Sheet1.csv
" nɔχos ɔ̄li,",0,A,AV,NoPtcl,npst,ind,none,npfv,A,mass,barenp,typid,nonsp,nuniq,nfam,,,,,,,,NM_Sosva_Chernetsov_45_PW_final.xlsx - Sheet1.csv
"lēŋχŋ, ɔ̄li,",0,A,AV,NoPtcl,npst,ind,none,npfv,A,mass,barenp,typid,nonsp,nuniq,nfam,,,,,,,,NM_Sosva_Chernetsov_45_PW_final.xlsx - Sheet1.csv
 wort-ɔ̄lnɔ-ɔ̄jka ɔ̄li. ,0,A,AV,NoPtcl,npst,ind,none,npfv,A,mass,barenp,typid,nonsp,nuniq,nfam,,,,,,,,NM_Sosva_Chernetsov_45_PW_final.xlsx - Sheet1.csv
 Ͻjka juw̯ jɔχti.,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_45_PW_final.xlsx - Sheet1.csv
" - Eja, - lāwi, pı̮ɣaɣen nupəl,",0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_45_PW_final.xlsx - Sheet1.csv
 - tɔnt ta lawsu̮m,0,A,V,ta,pst,ind,none,pfv,1,sg,zero,top,sp,uniq,sap,,,,,,,,NM_Sosva_Chernetsov_45_PW_final.xlsx - Sheet1.csv
" pupı̮ɣn ērtal l’ul’ lātəŋ ta lāwsēn,",1,A,PV,ta,pst,ind,none,pfv,2,du,zero,act,sp,uniq,sap,,,,,,,,NM_Sosva_Chernetsov_45_PW_final.xlsx - Sheet1.csv
 tɔru̮mn ērtal l’ul’ lātəŋ ta lāwsēn. ,1,A,PV,ta,pst,ind,none,pfv,2,du,zero,top,sp,uniq,sap,,,,,,,,NM_Sosva_Chernetsov_45_PW_final.xlsx - Sheet1.csv
mēŋwət akw χum saŋkwəlti.,X,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,ref,sp,nuniq,nfam,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
kit wɔ̄r χum2 ɔ̄leı̮ɣ.,0,A,AV,NoPtcl,npst,ind,none,npfv,H,du,barenp,ref,sp,uniq,nfam,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
wɔ̄rn minası̮ɣ.,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
akw mat ńɔχs χāŋχtuwes.,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ńɔ̄χsēn alası̮ɣ.,1,A,PV,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,A,sg,possnp,top,sp,uniq,strg,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
alastēn.,1,AP,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ɔ̄s ta minası̮ɣ.,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
akw māt ɔ̄s ńɔ̄χs χāŋχtuwes.,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ɔ̄s alastēn.,1,AP,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ɔ̄s ta minası̮ɣ.,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
akw māt ɔ̄s nɔχs χāŋχtuwes.,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ɔ̄s alastēn.,1,AP,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ɔs ta minası̮ɣ (2),0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ɔ̄s nɔ̄χs χāŋχtuwes,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ɔ̄s alastēn.,1,AP,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ań ńila ńɔχs ti alası̮ɣ.,1,A,PV,ti,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,A,pl,barenp,act,sp,uniq,strg,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ɔ̄s minası̮ɣ.,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ɔ̄s ńɔχs χāŋχtuwes.,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ɔ̄s alası̮ɣ.,X,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ɔ̄s ta minası̮ɣ,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ɔ̄s ta nɔχs χāŋχtuwes.,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ɔ̄s ta alası̮ɣ.,X,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ɔ̄s minası̮ɣ,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
akw mat ɔ̄s ńɔχs χāŋχtuwes.,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ɔ̄s alası̮ɣ.,X,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ālası̮ɣ saka sēməl.,1,A,VP,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,A,sg,barenp,act,sp,uniq,strg,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
soma nas ꞩulɣi.,0,A,V,NoPtcl,npst,ind,none,npfv,A,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ı̯a ètimaŋkwe ti pats.,0,INF-A,PV,ti,pst,ind,none,pfv,,,,,,,,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
tot l’ulɒχɔ̄leı̮ɣ.,0,A,V,NoPtcl,npst,ind,none,npfv,H,du,zero,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
an χum ı̯omlı̮ɣtapɒs.,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,ref,sp,uniq,nfam,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
wɔ̄r χum.lāwi:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
-am ńɔ̄χsum manrı̮ɣ ı̯ol alaslen,1,AP,PV,NoPtcl,pst,ind,quest,pfv,H,du,zero,act,sp,uniq,sap,A,sg,possnp,act,sp,uniq,strg,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
χotal' nupəl minew?,0,A,V,NoPtcl,npst,ind,quest,pfv,H,pl,zero,top,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
tēn lāweı̮ɣ mēn pau̯lumēn saka χosa.,0,A,AV,NoPtcl,npst,ind,none,pfv,H,du,pron,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"am pau̯lum l'apa, tuw minew, mis χum lāwi.",0,A,V,NoPtcl,npst,ind,none,pfv,H,pl,zero,top,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
tan pau̯lēn ta mineɣt.,0,A,V,ta,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"moꞩ minasət, lāwi.",0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"-χumı̮ɣ, nēn at ti ı̯oχtχatı̯ēn.",0,A,AV,ti,npst,ind,neg,npfv,H,du,pron,top,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
saka laꞩalı̮ɣ ɔ̄lnēn.,0,A,V,NoPtcl,npst,evid,none,npfv,H,du,zero,top,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
maı̯ ti kēməl χotal' ı̯oχtew!,0,A,V,NoPtcl,npst,ind,quest,pfv,H,pl,zero,top,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ti èti-|mawew.,0,P,V,ti,npst,ind,none,npfv,,,,,,,,H,pl,zero,top,sp,uniq,sap,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
tit kēr lakw ɔ̄li.,0,A,AV,NoPtcl,npst,ind,none,npfv,I,sg,barenp,ref,sp,nuniq,nfam,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
akwate nupəl lāwi.,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"naŋ l'ul'en tı̮ɣ,",0,A,AV,NoPtcl,npst,imp,none,pfv,H,sg,pron,top,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"- motane nupəl - lāwi,",0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
am p ti palum ɔ̄s kēr lākw ɔ̄li.,0,A,AV,NoPtcl,npst,ind,none,npfv,I,sg,barenp,ref,sp,nuniq,nfam,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
naŋ ɔ̄s tı̮ɣ l'ul'en.,0,A,AV,NoPtcl,npst,imp,none,pfv,H,sg,pron,top,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ta l'ul'sı̮ɣ.,0,A,V,ta,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"-anum, lāwi, ta kɔꞩ pȯχten!",1,A,PV,NoPtcl,npst,imp,none,pfv,H,du,zero,top,sp,uniq,sap,H,sg,pron,act,sp,uniq,sap,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"takɔ̄s pȯχtası̮ɣ, ",X,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"mis χum ta mini, ",0,A,AV,ta,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ta totaweı̮ɣ.,X,P,V,ta,npst,ind,none,npfv,,,,,,,,H,du,zero,act,sp,uniq,strg,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"χottal' tottaweı̮ɣ, ",X,P,V,NoPtcl,npst,ind,none,npfv,,,,,,,,H,du,zero,top,sp,uniq,strg,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ta totaweı̮ɣ.,X,P,V,ta,npst,ind,none,npfv,,,,,,,,H,du,zero,top,sp,uniq,strg,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
pal'a asanenəl nas ꞩuu̯ɣeɣt!,0,A,V,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ta kem pēlpəꞩ ta mini.,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ta mineɣt.,0,A,V,ta,npst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"akw ērt nāŋk ur simən ı̯oχte:sət,",0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
sat naŋk ɔ̄ltum kolna ti neı̮ɣ-|lesət.,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
tuu̯ ı̯uw̯ ta ꞩaltsət.,0,A,V,ta,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"ı̯uu̯ ꞩaltsət, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
muli pālt mēŋkw ɔ̄ı̯ka ūnli.,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,ref,sp,uniq,nfam,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
mēŋk ɔ̄ı̯ka lāwi.,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
-matər sir wɔ̄r sampa3 l'akweı̮ɣ,0,A,AV,NoPtcl,npst,ind,none,npfv,H,du,zero,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ti totipawesı̮ɣ.,X,P,V,ti,pst,ind,none,pfv,,,,,,,,H,du,zero,top,sp,uniq,strg,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
atēn ti pāsi.,0,A,AV,ti,npst,ind,none,npfv,I,abst,possnp,ref,nonsp,uniq,weak,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"matər āt'i tēpı̯alasət, ",1,A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,U,abst,npron,undef,nonsp,nuniq,nfam,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ꞩaı̯ aı̯sət.,1,A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,I,mass,barenp,ref,sp,nuniq,nfam,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
χuı̯ne pora ti ı̯ēmtəs.,0,A,AV,ti,pst,ind,none,pfv,I,abst,barenp,ref,nonsp,nuniq,nfam,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
χuı̯ne mate ꞩɔ̄pitɒs (misχum).,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,weak,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"-ı̯a, lāwi, χuı̯ēn.",0,A,V,NoPtcl,npst,imp,none,pfv,H,du,zero,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
am kit palumn χuı̯ēn.,0,A,V,NoPtcl,npst,imp,none,pfv,H,du,zero,top,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"anumn toχ sinı̮ɣtaχtim4 χuı̯ēn,",0,A,V,NoPtcl,npst,imp,none,pfv,H,du,zero,top,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"am; lāwi, saka takɔꞩ ɔ̄ı̯awem.",0,P,PV,NoPtcl,npst,ind,none,pfv,H,sg,pron,top,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"nēn taχ pilı̯ēn, ",0,A,AV,NoPtcl,npst,ind,none,npfv,H,du,pron,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"at ɔ̄ı̯awēn, ",0,P,V,NoPtcl,npst,ind,neg,pfv,,,,,,,,H,du,zero,top,sp,uniq,sap,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
χūntlēn.,0,A,V,NoPtcl,npst,ind,none,npfv,H,du,zero,top,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"tı̮ɣ {ke} ı̯oχti, ",0,A,V,NoPtcl,npst,irr,none,pfv,H,sg,zero,fam,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
lāɣəl titt taχ malaꞩlaχti.,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"nēnan kinsi, ",1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,H,du,pron,act,sp,uniq,sap,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
taχ anum nēn nɔŋχ tuı̯alēn.,1,A,PAV,NoPtcl,npst,imp,none,pfv,H,du,pron,top,sp,uniq,sap,H,sg,pron,act,sp,uniq,sap,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"at ke χūlilŭm, ",1,AP,V,NoPtcl,npst,irr,neg,pfv,H,sg,zero,top,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
pal' ńārɣum tou̯melēn.,1,AP,PV,NoPtcl,npst,imp,none,pfv,H,du,zero,top,sp,uniq,sap,I,du,possnp,ref,sp,uniq,weak,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"pal' ńārɣŭm tou̯meı̯en,",1,A,PV,NoPtcl,npst,ind,none,pfv,H,du,zero,top,sp,uniq,sap,I,du,possnp,top,sp,uniq,strg,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"at ke χūlilŭm, ",1,AP,V,NoPtcl,npst,irr,neg,pfv,H,sg,zero,top,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"wɔ̄ŋχŭp almaı̯ēn,",1,A,PV,NoPtcl,npst,imp,none,pfv,H,du,zero,act,sp,uniq,sap,I,sg,barenp,typid,nonsp,nuniq,nfam,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
anum wil't ı̯atta ı̯unı̮ɣte:lēn.,1,AP,PV,ta,npst,imp,none,pfv,H,du,zero,top,sp,uniq,sap,H,sg,pron,act,sp,uniq,sap,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"χańꞩtasaɣe,",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,du,zero,top,sp,uniq,strg,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ta χuı̯asət.,0,A,V,ta,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
tau̯ kit palēn ta χuı̯ası̮ɣ.,0,A,V,ta,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
sɔ̄l' ta ɔ̄ı̯ilmatwes.,0,P,V,ta,pst,ind,none,pfv,,,,,,,,H,sg,zero,top,sp,uniq,strg,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"tēn ta χūntleı̮ɣ, ",0,A,AV,ta,npst,ind,none,npfv,H,du,pron,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ı̯ola-at ɔ̄ı̯aweı̮ɣ,0,P,V,NoPtcl,npst,ind,neg,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
sɔ̄l' akw ērt ta ı̯inete suiti.,0,A,AV,NoPtcl,npst,ind,none,pfv,I,abst,possnp,ref,sp,uniq,weak,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ta ı̯uu̯.,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"tı̮ɣ ı̯oχtəs, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"ta malaꞩlaχ-|ti, ",0,A,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
kinsaweı̮ɣ.,X,P,V,NoPtcl,npst,ind,none,npfv,,,,,,,,H,du,zero,act,sp,uniq,strg,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"ı̯a ta ta kos kwalteı̮ɣ, ",X,A,V,NoPtcl,npst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"ta kos tuı̯eı̮ɣ, ",X,A,V,NoPtcl,npst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
pal' ńārı̮ɣ kos tou̯malitēn.,1,AP,PV,NoPtcl,npst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,I,du,barenp,fam,sp,uniq,strg,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
āt'i. at saı̯kali.,0,A,V,NoPtcl,npst,ind,neg,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
wōŋχŭp wissı̮ɣ ,1,A,PV,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,I,sg,barenp,fam,sp,nuniq,strg,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
wil't ı̯at ta ı̯uniı̮ɣtasten.,1,AP,PV,ta,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,I,sg,barenp,fam,sp,uniq,strg,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"nɔŋχ ta roχtəs, ",0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
ta ūntɒlmatəs.,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"nɔ̄ŋχ, ūntɒlmatəs, lāwe",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"-t'a, āŋkwe – nɔ̄n, tii manərtit kinsi!",1,A,APV,NoPtcl,npst,ind,quest,npfv,H,sg,npron,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"ta sāŋχwasaste,",1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
kol kann ta raɣatɒs.,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
"-ti am konn kos minsŭm,",0,A,AV,NoPtcl,pst,ind,none,npfv,H,sg,pron,top,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
konn at χɔ̄ntχateɣŭm!,0,A,V,NoPtcl,npst,ind,neg,pfv,H,sg,zero,top,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_50_2_final.xlsx - Full.csv
