,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
 akv ti savit juvle jomi,227,0,A,PV,NoPtcl,fut,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 Tuv johtьs,228,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 kolьɧ-somjahьɧ,229,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 Ta janit akar kapaj tī,230,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 Hurum pis ker kvalil neɧim on̩ꞩave,231,X,P,V,NoPtcl,npst,ind,none,npfv,,,,,,,,A,sg,zero,ref,sp,nuniq,nfam
" Lipaꞩ ke ojumatnuv, ",232,0,A,V,NoPtcl,fut,irr,none,pfv,A,sg,zero,act,sp,uniq,strg,,,,,,,
" akv pulьɧ at toulhatnuv, ",233,0,A,V,NoPtcl,fut,irr,neg,npfv,A,sg,zero,act,sp,uniq,strg,,,,,,,
 juv tajapanuve,234,X,P,V,NoPtcl,fut,irr,none,pfv,,,,,,,,H,sg,zero,ref,sp,nuniq,nfam
 Jun hotpa lavme sujti ,235,0,A,AV,NoPtcl,npst,ind,none,pfv,I,abst,possnp,ref,sp,nuniq,w_prcp,,,,,,,
 Man ta janit ꞩohlaŋ vareɧьn? ,236,1,A,PV,NoPtcl,npst,ind,quest,npfv,2,sg,zero,act,sp,uniq,sap,I,abst,barenp,ref,sp,nuniq,nfam
 atajaleln,237,1,AP,V,NoPtcl,fut,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,H,sg,zero,ref,sp,nuniq,nfam
" naŋьn rovne mat hotpa ke johtьs, ",238,0,A,AV,NoPtcl,pst,irr,none,pfv,U,abst,indefp,typid,nonsp,nuniq,nfam,,,,,,,
" tujte jaŋke n̩ollьɧten, ",239,1,A,PV,NoPtcl,fut,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,I,mass,dpossnp,ref,sp,nuniq,nfam
 juv puvtmeln,240,1,AP,V,NoPtcl,fut,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,H,sg,zero,ref,sp,nuniq,nfam
 atajalves,241,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,H,sg,zero,act,sp,uniq,strg
" Tujte jaŋke n̩ollьɧtaves, ",242,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,I,mass,dpossnp,act,sp,uniq,strg
 juv puvtmaves,243,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,H,sg,zero,act,sp,uniq,strg
 akv ekva unli,244,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,
" Lavi: ekvaьɧ ojkaьɧ pьɧ apьɧkve, ",245,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 hotal̩ mineɧьn? ,246,0,A,V,NoPtcl,npst,ind,quest,npfv,2,sg,zero,act,sp,uniq,sap,,,,,,,
 arɧen oln muvьr sup n̩auleɧum,247,1,A,PV,NoPtcl,npst,ind,none,npfv,1,sg,zero,act,sp,uniq,sap,I,sg,barenp,fam,sp,uniq,strg
" Katьn uŋ ꞩomtal,",248,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 laɧьlьn iŋ vaɧtal,249,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
" naŋ arɧen oln muvьr supьn n̩auluŋkve jalum hum elal̩ minam hum sav ols,",250,0,A,AV,NoPtcl,pst,ind,none,pfv,H,pl,barenp,typid,sp,nuniq,nfam,,,,,,,
 juvle jim hum ātim,251,,,,NoPtcl,,,neg,,,,,,,,,,,,,,,
 sorniŋ tep maɧьŋtep pasanьl varves,252,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,H,sg,zero,act,sp,uniq,strg
 Tes ,253,X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 ajis ,254,X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 astis,255,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 akve lavi:,256,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,dpossnp,act,sp,uniq,strg,,,,,,,
 jol huiseɧьn man āti? ,257,0,A,V,NoPtcl,fut,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,
 hujeɧum ,258,0,A,V,NoPtcl,fut,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,,,,,,,
 Hun̩t ꞩopitim n̩ohьs pitin ta hujas,259,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
" Hosa hujas, ",260,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 vati hujas,261,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" akv mat ert, akve kon kvalme sujti",262,0,A,AV,NoPtcl,npst,ind,none,pfv,I,abst,possnp,ref,sp,nuniq,w_prcp,,,,,,,
 akv ekva juv ꞩaltme porat noŋh úntьlmāts,263,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 sorniŋ oln kuraꞩ tulves,264,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,I,sg,barenp,ref,sp,nuniq,nfam
" kol kanna lajim porat, kol kan partьt supьɧ ala tollasьt ",265,0,A,AV,NoPtcl,pst,ind,none,pfv,I,pl,barenp,ref,sp,nuniq,nfam,,,,,,,
" apьɧkve, puvleɧьn, manati? ",266,0,A,V,NoPtcl,fut,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,
" mat puwlen kol ke oli, ",267,0,A,AV,NoPtcl,npst,irr,none,npfv,I,sg,barenp,ref,sp,nuniq,nfam,,,,,,,
 puvleɧum,268,0,A,V,NoPtcl,fut,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,,,,,,,
 noŋh l̩ul̩mьtas,269,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
" sorniŋ olьn kuraꞩ al̩majame porat, voril ti almajaste",270,1,AP,V,ti,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
 Puvlьn kolna minas,271,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 Sorniŋ olьn puvlьn kol sorni vitьl ꞩurji,272,0,A,AxV,NoPtcl,npst,ind,none,npfv,I,sg,barenp,top,sp,uniq,strg,,,,,,,
" Juv ꞩalteɧum pьl sorum, ",273,0,A,V,NoPtcl,fut,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,,,,,,,
 kon oleɧum pьl sorum,274,0,A,V,NoPtcl,fut,ind,none,npfv,1,sg,zero,top,sp,uniq,sap,,,,,,,
 Juv ta ꞩaltьs,275,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
" Ta rathati, ",276,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 ta loŋhitahti,277,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" Luve aɧmьŋьɧ jemtme sujti,",278,0,A,AV,NoPtcl,npst,ind,none,npfv,I,abst,possnp,ref,sp,nuniq,w_prcp,,,,,,,
 n̩ovьle aɧmьŋьɧ jemtme sujti,279,0,A,AV,NoPtcl,npst,ind,none,npfv,I,abst,possnp,ref,sp,nuniq,w_prcp,,,,,,,
" Luve janьɧmame sujti, ",280,0,A,AV,NoPtcl,npst,ind,none,npfv,I,abst,possnp,ref,sp,nuniq,w_prcp,,,,,,,
 n̩ovьle janьɧmame sujti,281,0,A,AV,NoPtcl,npst,ind,none,npfv,I,abst,possnp,ref,sp,nuniq,w_prcp,,,,,,,
" Sorniŋ oln kuraꞩ akv sorni lopta at hul̩tum, ",282,0,A,AV,NoPtcl,pst,evid,neg,pfv,I,sg,barenp,typid,nonso,nuniq,nfam,,,,,,,
 pusьn ratmane,283,1,AP,PV,NoPtcl,pst,evid,none,pfv,H,sg,zero,,,,,I,pl,univp,ref,sp,uniq,strg
 Juv minas,284,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 akve lavi:,285,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,dpossnp,act,sp,uniq,strg,,,,,,,
 naŋ  taj hum tortal ta puvlumьn,286,0,A,AxV,ta,pst,evid,none,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,
" sorniŋ olьn puvlьn kolum paltьɧlakem, (sorniŋ olьn puvlьn kolum) hurum pьɧum janьɧ pьɧum johtalakete, sorniŋ olьn kuraꞩe hurum lopta tup hot patsi",287,0,A,AxV,NoPtcl,npst,ind,none,npfv,H,pl,barenp,ref,sp,nuniq,nfam,,,,,,,
 naŋ taj hum pusьn ta rātumlьn,288,1,AP,AxPV,ta,pst,evid,none,pfv,2,sg,pron,act,sp,uniq,sap,I,mass,univp,act,sp,uniq,strg
 hun̩t ꞩaritim torev n̩ovьl toh totves,289,X,P,PxV,NoPtcl,pst,ind,none,pfv,,,,,,,,I,mass,barenp,ref,sp,nuniq,nfam
 Torev n̩ovьle pusьntes,290,1,A,PxV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,mass,possnp,act,sp,uniq,strg
 kit pot n̩ane pusьn tes,291,1,A,PxV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,mass,possnp,ref,sp,nuniq,nfam
