,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
"ań āɣi wos ı̯uu̯, ",113,0,A,AV,NoPtcl,fut,opt,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
wos wı̮ɣte,114,1,AP,V,NoPtcl,fut,opt,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg,
" wowwes, ",115,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,H,sg,zero,top,sp,uniq,strg,
"tuu̯ ta ꞩaltəs, koı̯up isəl tan kȯln",116,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 koı̯up tawen ta maı̯wès ,117,1,P,PxV,ta,pst,ind,none,pfv,H,sg,pron,top,sp,uniq,strg,I,sg,barenp,act,sp,uniq,strg,
kātèn ta wiste,118,1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg,
" wiste, ",119,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg,
"moꞩ isəltalas, ",120,X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
takwi katəl ı̯il'piliɣ ulan isəltaste,121,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg,
" ta rataꞩ laŋkwe pats, ",122,0,INF-A,PV,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
ta kaı̯aꞩli,123,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" kaı̯aꞩlaŋkwe pats, ",124,0,INF-A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
ta lāwi,125,0,A,V,ta,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 - ti ɔ̄ln ani saka tiniŋ,126,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
 saka sāw tɔ̄rŭm tot ɔ̄li,127,0,A,AxV,NoPtcl,npst,ind,none,npfv,H,pl,barenp,typid,sp,nuniq,nfam,,,,,,,,
