,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
 naŋ pū̬leln!,91,1,AP,AV,NoPtcl,fut,imp,none,npfv,2,sg,pron,top,sp,uniq,sap,U,abst,zero,ref,nonsp,nuniq,nfam,
 mēn tawēn pū̬rlən matər at ɔ̄n’ꞩimēn.,92,1,A,APV,NoPtcl,npst,ind,neg,npfv,1,du,pron,act,sp,uniq,sap,U,abst,indefp,ref,nonsp,nuniq,nfam,
 Ͻs ta minuŋkwə patsı̮ɣ. ,93,0,INF-A,PV,ta+,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,
 Tɔχ minimatəl Mɔꞩ χum ɔ̄jka palt jɔχteɣt. ,94,0,A,V,NoPtcl,npst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,
 āꞩēn lāwi,95,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
 - Mɔꞩ χum ākin pū̬rlelen.,96,1,AP,V,NoPtcl,fut,imp,none,npfv,2,du,zero,act,sp,uniq,sap,,,,,,,,
 pı̮ɣaɣe āꞩēn nupəl l’āw̯teı̮ɣ. ,97,0,A,AxV,NoPtcl,npst,ind,none,pfv,H,du,possnp,act,sp,uniq,strg,,,,,,,,
" naŋ manər ti sawit pupı̮ɣ ɔn’ꞩeɣən,",98,1,A,AxPV,NoPtcl,npst,ind,none,npfv,2,sg,pron,act,sp,uniq,sap,I,abst,demnp,typid,nonsp,nuniq,w_cont,
 akwaı̮ɣ pū̬r- laχtuŋkwə wɔrateɣən! ,99,0,INF-A,PV,NoPtcl,npst,ind,none,npfv,2,sg,zero,top,sp,uniq,sap,,,,,,,,
" men pū̬rlən matər at ɔn’ꞩimēn,",100,1,A,APV,NoPtcl,npst,ind,neg,npfv,1,du,pron,act,sp,uniq,sap,U,abst,indefp,ref,nonsp,nuniq,nfam,
 at pū̬rlimēn.,101,0,A,V,NoPtcl,fut,ind,neg,pfv,1,du,zero,top,sp,uniq,sap,,,,,,,,
 Ͻs ta mineɣt.,102,0,A,V,ta+,npst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,
 tapəsn jɔχteɣt,103,0,A,V,NoPtcl,npst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
 tanki māneln ta jɔχteɣt.,104,0,A,V,ta,npst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
 an’ χumı̮ɣ worn ta minası̮ɣ. ,105,0,A,AxV,ta,pst,ind,none,pfv,H,du,barenp,top,sp,uniq,strg,,,,,,,,
" ta kɔs jaleı̮ɣ,",106,0,A,V,ta+,npst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
 joləl minam lāɣləŋ uj kɔnse χartum l’ɔ̄ŋχe at χɔ̄nteɣt. ,107,1,A,PV,NoPtcl,npst,ind,neg,npfv,H,du,zero,top,sp,uniq,strg,I,sg,possnp,typid,nonsp,nuniq,nfam,
 tatɒl pȱtil juu̯ ta jɔχteı̮ɣ. ,108,0,A,V,ta,npst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
 āꞩēn ɔ̄jka lāwi:,109,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
 - mɔlɒl tɔnt ta lāweɣm:,110,0,A,V,ta,npst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,,,,,,,,
 „pupı̮ɣn ertɒl l’ul’ latəŋ ta lawsən. ,111,1,A,PV,ta,pst,ind,none,pfv,2,du,zero,act,sp,uniq,sap,I,abst,barenp,ref,sp,uniq,w_cont,
 tɔru̮mn ertal l’ul’ latəŋ ta lawsən. ,112,1,A,PV,ta,pst,ind,none,pfv,2,sg,zero,top,sp,uniq,sap,I,abst,barenp,ref,sp,uniq,w_cont,
" Wɔr uj sɔ̄ten puwwəs,",113,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,I,abst,possnp,top,sp,uniq,strg,
 wit χul sɔ̄tēn puwwəs,114,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,I,abst,possnp,top,sp,uniq,strg,
" an’ ɔ̄jka takwi ēntχa:tɒs,",115,0,A,AxV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
 ta minɒs,116,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" ta lāwnə wɔr uj ɔ̄li,",117,0,A,AV,NoPtcl,npst,ind,none,npfv,A,mass,barenp,typid,nonsp,nuniq,nfam,,,,,,,,
" nɔχos ɔ̄li,",118,0,A,AV,NoPtcl,npst,ind,none,npfv,A,mass,barenp,typid,nonsp,nuniq,nfam,,,,,,,,
"lēŋχŋ, ɔ̄li,",119,0,A,AV,NoPtcl,npst,ind,none,npfv,A,mass,barenp,typid,nonsp,nuniq,nfam,,,,,,,,
 wort-ɔ̄lnɔ-ɔ̄jka ɔ̄li. ,120,0,A,AV,NoPtcl,npst,ind,none,npfv,A,mass,barenp,typid,nonsp,nuniq,nfam,,,,,,,,
 Ͻjka juw̯ jɔχti.,121,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
" - Eja, - lāwi, pı̮ɣaɣen nupəl,",122,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 - tɔnt ta lawsu̮m,123,0,A,V,ta,pst,ind,none,pfv,1,sg,zero,top,sp,uniq,sap,,,,,,,,
" pupı̮ɣn ērtal l’ul’ lātəŋ ta lāwsēn,",124,1,A,PV,ta,pst,ind,none,pfv,2,du,zero,act,sp,uniq,sap,,,,,,,,
 tɔru̮mn ērtal l’ul’ lātəŋ ta lāwsēn. ,125,1,A,PV,ta,pst,ind,none,pfv,2,du,zero,top,sp,uniq,sap,,,,,,,,
 wɔruu̯ taɣle wɔruj. ,126,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
" n’ɔχos sāu̯,",127,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
" lēŋχn sāu̯,",128,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
  wɔrt- -ɔ̄lnɔ-ɔ̄jka sāu̯.,129,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
