,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
 jānı̮ɣmame lāɣle jāmɒs,244,0,A,AV,NoPtcl,pst,ind,none,pfv,I,du,possnp,ref,sp,uniq,w_brdg,,,,,,,,
" pāɣəl ńawrem jȯt, ȱ̭s ńawrem jȯt jȯnɣəŋkwe pirmajtaχtas",245,0,INF-A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
 tuwl ńawremt rɔŋχeɣt:,246,0,A,AV,NoPtcl,npst,ind,none,pfv,H,pl,barenp,act,sp,uniq,strg,,,,,,,,
" - jāɣən tēm aŋkən tēm pı̮͕ɣ ti jānit jɔ̄r ti ɔńꞩeɣən,",247,1,A,PV,ti,npst,ind,none,npfv,2,sg,zero,act,sp,uniq,sap,I,abst,demnp,ref,sp,uniq,nfam,
" ti jānit pɔχur ti ɔńꞩeɣən,",248,1,A,PV,ti,npst,ind,none,npfv,2,sg,zero,top,sp,uniq,sap,I,abst,demnp,ref,sp,uniq,nfam,
" jaɣən nu͕r, āŋkən nu͕r kinsɒke manrəɣ at mineɣən?",249,0,INF-A,PxV,NoPtcl,npst,ind,quest/neg,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,,
" kātaɣe manrı̮ɣ sāɣrɒpəl sāɣrapawesəɣ,",250,X,P,PxV,NoPtcl,pst,ind,quest,pfv,,,,,,,,I,du,possnp,act,sp,uniq,strg,
 samaɣe manrı̮ɣ puwtwesı̮ɣ?,251,X,P,PxV,NoPtcl,pst,ind,quest,pfv,,,,,,,,I,du,possnp,act,sp,uniq,strg,
" aŋke pałt juw minas,",252,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
 tuul aŋke kita paste;,253,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,possnp,act,sp,uniq,strg,
" - āŋka, - lawi,",254,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" - mań mȯꞩ χum jaɣpı̮ɣən χɔ̄t'i najiŋ māt, χɔ̄ti ɔ̄trəŋ māt ɔ̄li?",255,0,A,AxV,NoPtcl,npst,ind,quest,npfv,H,sg,possnp,fam,sp,uniq,strg,,,,,,,,
 āŋke ł'aɣales:,256,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
" - pı̮ɣke, kātən iŋ ꞩɔmtal,",257,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
 lāɣən ɔs ꞩɔmtal,258,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
