,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
os {tēn} sovanen hot <ō>hsalav<ē>s<ē>ɧa,319,X,P,PV,,pst,ind,,pfv,,,,,,,,I,pl,possnp,ref,sp,uniq,w_brdg,
i <ō>s <ā>pan hujuptav<ē>s<ē>ɧa.,320,X,P,V,,pst,ind,,pfv,,,,,,,,A,du,zero,act,sp,uniq,strg,
Toɧa h<ū>r<u̮>m uj sun[ь]n̥ taltav<ē>st.,321,X,P,PxV,,pst,ind,,pfv,,,,,,,,A,pl,barenp,act,sp,uniq,strg,
<ū>sьŋ <ō>tьr <ō>jka <ō>s piɧane nupil p<ŏ>tьrtь:,322,X,A,AxV,,npst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
"n̩avremt <ō>s <ē>ri sunsaŋk[v]e,",323,0,INF-A,PV,,npst,ind,,npfv,,,,,,,,,,,,,,,
"<ē>riŋ <ō>s <ō>li.""",324,0,A,V,,npst,ind,,npfv,,,,,,,,,,,,,,,
<ŭ>sьŋ <ō>tьr <ō>jka man̩ piɧ jiv vi<u>s,325,1,A,APV,,pst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,I,sg,barenp,fam,sp,uniq,strg,
v<ō>ŋha h<ō>sь<i>t m<ā>ɧ{<ə>}ste.,326,1,AP,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg,
akmatērt v<ō>ŋha kevirt jive hot<ā>l̩e h<ō>jiɧlame sujtь<ə>s.,327,0,A,AV,,pst,ind,,pfv,I,abst,possnp,ref,sp,uniq,w_prcp,,,,,,,,
jive kona hartaste,328,1,AP,PV,,pst,ind,,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,possnp,top,sp,uniq,strg,
"sunsь<i>janьl,",329,1,AP,V,,npst,ind,,npfv,H,pl,zero,act,sp,uniq,strg,,,,,,,,
s<ā>s ꞩuŋkari <ō>li.,330,0,A,AV,,npst,ind,,npfv,I,sg,barenp,ref,sp,uniq,nfam,,,,,,,,
"Ūsɘŋ <ō>tьr <ō>jkan s<ā>s ꞩuŋkari almajav<ē>s,",331,1,P,APV,,pst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,I,sg,barenp,top,sp,uniq,strg,
sunsaste,332,1,AP,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg,
i <ł><ā>ɧal[ь]s:,333,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
"""n̩avremt, <ē>lamholas <ō>lnete huripa.""",334,0,A,AV,,npst,evid,,npfv,H,sg,barenp,typid,nonsp,nuniq,nfam,,,,,,,,
