,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
 aꞩe lavi:,21,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,
" - aman̩ pes sat mis kol, sat luv kol pattat sat toulup luv onꞩsum",22,1,A,AxPV,NoPtcl,pst,ind,none,pfv,1,sg,pron,act,sp,uniq,sap,A,sg,barenp,ref,sp,uniq,nfam
" an̩ naŋ sat toulup luv puvuŋkve ke vermilьn,",23,1,INF-AP,APV,NoPtcl,fut,irr,none,pfv,2,sg,zero,act,sp,uniq,sap,A,sg,barenp,act,sp,uniq,strg
 ta puvilьn,24,1,AP,V,ta,fut,ind,none,pfv,2,sg,zero,top,sp,uniq,sap,A,sg,zero,top,sp,uniq,strg
 Tajil ta jalasanuvьn,25,0,A,V,ta,fut,irr,none,npfv,2,sg,zero,top,sp,uniq,sap,,,,,,,
 Pьɧe ta ꞩaltьs,26,0,A,AV,ta,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,
" Sat mis kol, avijanel lap naꞩamtimet",27,0,A,AV,NoPtcl,pst,evid,none,pfv,I,pl,possnp,ref,sp,uniq,nfam,,,,,,,
 Tan kermant vis,28,1,A,APV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,I,sg,barenp,typid,sp,nuniq,nfam
 hьluŋkve ta patas,29,0,INF-A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" Ta hьlas,",30,0,A,V,ta,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 hьlas,31,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
